CUI,SAB_x,SAB_y,STR,DEF
C0000817,MSH,DXP,"ABORTION, SEPTIC","Any type of abortion, induced or spontaneous, that is associated with infection of the UTERUS and its appendages. It is characterized by FEVER, uterine tenderness, and foul discharge."
C0000821,MSH,DXP,"ABORTION, THREATENED","UTERINE BLEEDING from a GESTATION of less than 20 weeks without any CERVICAL DILATATION. It is characterized by vaginal bleeding, lower back discomfort, or midline pelvic cramping and a risk factor for MISCARRIAGE."
C0000821,NCI,DXP,"ABORTION, THREATENED",Vaginal bleeding preceding the 20th week of gestation.
C0000832,MSH,DXP,PLACENTA ABRUPTIO,"Premature separation of the normally implanted PLACENTA from the UTERUS. Signs of varying degree of severity include UTERINE BLEEDING, uterine MUSCLE HYPERTONIA, and FETAL DISTRESS or FETAL DEATH."
C0000832,NCI,DXP,PLACENTA ABRUPTIO,"Placental separation from the uterus with bleeding (concealed or vaginal) before fetal birth, with or without maternal/fetal compromise. (reVITALize)"
C0000832,HPO,DXP,PLACENTA ABRUPTIO,Separation of the placenta from the uterus wall before delivery. [DDD:hfirth]
C0000889,MSH,DXP,ACANTHOSIS NIGRICANS,"A circumscribed melanosis consisting of a brown-pigmented, velvety verrucosity or fine papillomatosis appearing in the axillae and other body folds. It occurs in association with endocrine disorders, underlying malignancy, administration of certain drugs, or as in inherited disorder."
C0000889,CSP,DXP,ACANTHOSIS NIGRICANS,"circumscribed melanosis consisting of a brown pigmented, velvety verrucosity or fine papillomatosis appearing in the axillae and other body folds; occurs in association with endocrine disorders, underlying malignancy, administration of certain drugs, or as in inherited disorder."
C0000889,HPO,DXP,ACANTHOSIS NIGRICANS,"A dermatosis characterized by thickened, hyperpigmented plaques, typically on the intertriginous surfaces and neck. [DDD:cmoss, PMID:19061584]"
C0000889,NCI,DXP,ACANTHOSIS NIGRICANS,"A melanotic cutaneous lesion that develops in the axilla and other body folds. It may be idiopathic, drug-induced, or it may be associated with the presence of an endocrine disorder or malignancy."
C0001080,MSH,DXP,ACHONDROPLASIA,"An autosomal dominant disorder that is the most frequent form of short-limb dwarfism. Affected individuals exhibit short stature caused by rhizomelic shortening of the limbs, characteristic facies with frontal bossing and mid-face hypoplasia, exaggerated lumbar lordosis, limitation of elbow extension, GENU VARUM, and trident hand. (Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim, MIM#100800, April 20, 2001)"
C0001080,CSP,DXP,ACHONDROPLASIA,"autosomal dominant disorder that is the most frequent form of short-limb dwarfism; a disturbance of epiphyseal chondroblastic growth, causing inadequate enchondral bone formation."
C0001080,ORPHANET,DXP,ACHONDROPLASIA,"A primary bone dysplasia with micromelia characterized by rhizomelia, exaggerated lumbar lordosis, brachydactyly, and macrocephaly with frontal bossing and midface hypoplasia."
C0001080,NCI,DXP,ACHONDROPLASIA,"An autosomal dominant disorder caused by mutation(s) in the FGFR3 gene, encoding fibroblast growth factor receptor 3. The condition is characterized by inappropriate cartilage growth plate differentiation and deficient endochondral growth, manifest clinically with severe rhizomelic short stature, short limbs, characteristic facies with frontal bossing and midface hypoplasia."
C0001126,MSH,DXP,"ACIDOSIS, RENAL, TUBULAR","A group of genetic disorders of the KIDNEY TUBULES characterized by the accumulation of metabolically produced acids with elevated plasma chloride, hyperchloremic metabolic ACIDOSIS. Defective renal acidification of URINE (proximal tubules) or low renal acid excretion (distal tubules) can lead to complications such as HYPOKALEMIA, hypercalcinuria with NEPHROLITHIASIS and NEPHROCALCINOSIS, and RICKETS."
C0001126,CSP,DXP,"ACIDOSIS, RENAL, TUBULAR","rare sometimes familial disorder of the renal tubule characterized by the inability to excrete urine of normal acidity; this leads to a hyperchloremic acidosis which is often associated with one or more secondary complications such as hypercalcinuria with nephrolithiasis and nephrocalcinosis, rickets, or osteomalacia and severe potassium depletion."
C0001126,HPO,DXP,"ACIDOSIS, RENAL, TUBULAR","Acidosis owing to malfunction of the kidney tubules with accumulation of metabolic acids and hyperchloremia, potentially leading to complications including hypokalemia, hypercalcinuria, nephrolithiasis and nephrocalcinosis. [HPO:probinson]"
C0001126,NCI,DXP,"ACIDOSIS, RENAL, TUBULAR",The inability of the kidneys to maintain acid-base homeostasis.
C0001206,AIR,DXP,ACROMEGALY,"WHAT: Acromegaly:	Hypersecretion of growth hormone from a pituitary tumor resulting in insidious increase in the skeleton, soft tissues and organs.	WHY:	Acromegaly can result in an arthropathy with initial cartilage hypertrophy resulting in widening of the cartilage space on radiographs. The cartilage then undergoes premature osteoarthritis change with productive bony change characterized by broad distal tufts in the phalanges."
C0001206,MSH,DXP,ACROMEGALY,"A condition caused by prolonged exposure to excessive HUMAN GROWTH HORMONE in adults. It is characterized by bony enlargement of the FACE; lower jaw (PROGNATHISM); hands; FEET; HEAD; and THORAX. The most common etiology is a GROWTH HORMONE-SECRETING PITUITARY ADENOMA. (From Joynt, Clinical Neurology, 1992, Ch36, pp79-80)"
C0001206,CSP,DXP,ACROMEGALY,"disorder caused by excessive secretion of somatotropin, characterized by bony enlargement of face, hands, feet, head and thorax."
C0001206,NCI,DXP,ACROMEGALY,"A syndrome characterized by enlargement of the hands, feet, ears, nose, lips, and tongue, skin thickening and swelling of internal organs. It is caused by overproduction of growth hormone in the pituitary gland, usually by a pituitary adenoma."
C0001206,ORPHANET,DXP,ACROMEGALY,A rare acquired endocrine disease related to excessive production of growth hormone (GH) and characterized by progressive somatic disfigurement (mainly involving the face and extremities) and systemic manifestations.
C0001261,MSH,DXP,ACTINOMYCOSIS,Infections with bacteria of the genus ACTINOMYCES.
C0001261,ORPHANET,DXP,ACTINOMYCOSIS,"A rare bacterial infectious disease characterized by a chronic granulomatous infection by &lt;i&gt;Actinomyces&lt;/i&gt; species which are commensals in the human gastrointestinal and urogenital tract and oropharynx. Corresponding to the affected site, the disease presents as cervicofacial, respiratory tract, genitourinary tract, digestive tract, central nervous system, or cutaneous actinomycosis and leads to the formation of abscesses and fistulae in the respective region."
C0001261,NCI,DXP,ACTINOMYCOSIS,"An infectious process caused by bacteria of the Actinomyces species. It is characterized by the formation of purulent and painful abscesses in the mouth, lungs and gastrointestinal tract."
C0001327,NCI,DXP,"LARYNGITIS, ACUTE","An acute inflammatory process affecting the larynx. It is caused by bacteria, viruses, or vocal strain. Signs and symptoms include sore throat, cough, swallowing difficulties, and hoarseness."
C0001339,NCI,DXP,"PANCREATITIS, ACUTE","An acute inflammatory process that leads to necrosis of the pancreatic parenchyma. Signs and symptoms include severe abdominal pain, nausea, vomiting, diarrhea, fever, and shock. Causes include alcohol consumption, presence of gallstones, trauma, and drugs."
C0001339,HPO,DXP,"PANCREATITIS, ACUTE",A acute form of pancreatitis. [HPO:probinson]
C0001361,NCI,DXP,"TONSILLITIS, ACUTE","An acute inflammation of the tonsils caused by viruses or bacteria. Signs and symptoms include fever, enlargement of the tonsils, difficulty swallowing, and enlargement of the regional lymph nodes."
C0001363,NCI,DXP,"MESENTERIC VASCULAR INSUFFICIENCY, ACUTE",Ischemia of the intestine that is rapid in onset.
C0001364,MSH,DXP,"LIVER, MASSIVE NECROSIS","Extensive and rapid death of parenchymal cells in the LIVER, often due to exposure to toxic materials or drug-induced injury. It is characterized by a soft, flabby, yellow-brown wrinkled, and shrunken liver. It was called ""acute yellow atrophy""."
C0001396,MSH,DXP,STOKES-ADAMS ATTACKS,"A condition of fainting spells caused by heart block, often an atrioventricular block, that leads to BRADYCARDIA and drop in CARDIAC OUTPUT. When the cardiac output becomes too low, the patient faints (SYNCOPE). In some cases, the syncope attacks are transient and in others cases repetitive and persistent."
C0001396,NCI,DXP,STOKES-ADAMS ATTACKS,"An episode of sudden and transient loss of consciousness sometimes associated with seizures. It is caused by a sudden decrease of the cardiac output that results from a sudden cardiac dysrhythmia. Typically patients develop an initial pallor, followed by facial flush during recovery."
C0001486,MSH,DXP,ADENOVIRUS INFECTION,Virus diseases caused by the ADENOVIRIDAE.
C0001486,NCI,DXP,ADENOVIRUS INFECTION,"An infectious process caused by adenovirus. The virus may cause respiratory illness, conjunctivitis, gastroenteritis, and cystitis."
C0001529,MSH,DXP,ADIPOSIS DOLOROSA,A rare disease characterized by multiple tumor-like fatty deposits that press on nerves in various sites causing pain and weakness. Often these lipoma-like structures are located on the trunk and limbs but not on the face and hands.
C0001529,NCI,DXP,ADIPOSIS DOLOROSA,"A rare genetic disorder characterized by the development of painful lipomas during adulthood, especially in menopausal women. Associated symptoms include fatigue, obesity, confusion and depression."
C0001529,ORPHANET,DXP,ADIPOSIS DOLOROSA,"A rare disorder of subcutaneous tissue characterized by the development of painful, adipose tissue with multiple subcutaneous lipomas, in association with overweight or obesity."
C0001727,MSH,DXP,AFFERENT LOOP SYNDROME,"A complication of gastrojejunostomy (BILLROTH II PROCEDURE), a reconstructive GASTROENTEROSTOMY. It is caused by acute (complete) or chronic (intermittent) obstruction of the afferent jejunal loop due to HERNIA, intussusception, kinking, VOLVULUS, etc. It is characterized by PAIN and VOMITING of BILE-stained fluid."
C0001733,MSH,DXP,"FACTOR I DEFICIENCY, COMPLETE",A deficiency or absence of FIBRINOGEN in the blood.
C0001733,CSP,DXP,"FACTOR I DEFICIENCY, COMPLETE",deficiency or absence of fibrinogen (coagulation factor I) in the blood.
C0001733,NCI,DXP,"FACTOR I DEFICIENCY, COMPLETE","A blood coagulation disorder characterized by the complete absence of fibrinogen in the blood, resulting in bleeding."
C0001733,HPO,DXP,"FACTOR I DEFICIENCY, COMPLETE",Lack of detectable fibrinogen in the blood circulation. []
C0001824,MSH,DXP,AGRANULOCYTOSIS,A decrease in the number of GRANULOCYTES; (BASOPHILS; EOSINOPHILS; and NEUTROPHILS).
C0001824,CSP,DXP,AGRANULOCYTOSIS,"decrease in the number of granulocytes (basophils, eosinophils, and neutrophils)."
C0001824,HPO,DXP,AGRANULOCYTOSIS,Marked decrease in the number of granulocytes. [HPO:probinson]
C0001957,MSH,DXP,DELERIUM TREMENS,"An acute organic mental disorder induced by cessation or reduction in chronic alcohol consumption. Clinical characteristics include CONFUSION; DELUSIONS; vivid HALLUCINATIONS; TREMOR; agitation; insomnia; and signs of autonomic hyperactivity (e.g., elevated blood pressure and heart rate, dilated pupils, and diaphoresis). This condition may occasionally be fatal. It was formerly called delirium tremens. (From Adams et al., Principles of Neurology, 6th ed, p1175)"
C0001957,PSY,DXP,DELERIUM TREMENS,"Acute alcoholic, psychotic condition characterized by intense tremors, anxiety, hallucinations, and delusions."
C0001969,MSH,DXP,ALCOHOL INTOXICATION,An acute brain syndrome which results from the excessive ingestion of ETHANOL or ALCOHOLIC BEVERAGES.
C0001969,NCI,DXP,ALCOHOL INTOXICATION,Disturbances in psychophysiological functions and responses as a result of consumption of a beverage containing ethanol.
C0001973,MSH,DXP,ALCOHOLISM,"A primary, chronic disease with genetic, psychosocial, and environmental factors influencing its development and manifestations. The disease is often progressive and fatal. It is characterized by impaired control over drinking, preoccupation with the drug alcohol, use of alcohol despite adverse consequences, and distortions in thinking, most notably denial. Each of these symptoms may be continuous or periodic. (Morse & Flavin for the Joint Commission of the National Council on Alcoholism and Drug Dependence and the American Society of Addiction Medicine to Study the Definition and Criteria for the Diagnosis of Alcoholism: in JAMA 1992;268:1012-4)"
C0001973,CSP,DXP,ALCOHOLISM,a disorder characterized by a pathological pattern of alcohol use that causes a serious impairment in social or occupational functioning.
C0001973,NCI,DXP,ALCOHOLISM,Physical and psychological dependence on alcohol.
C0001973,HPO,DXP,ALCOHOLISM,"An addictive behavior defined as drinking excessive amounts of alcohol over a long period of time, having difficulty reducing the amount of alcohol consumed, strongly desiring alcohol and experiencing withdrawal symptoms when not drinking alcohol. []"
C0002066,MSH,DXP,ALKAPTONURIA,"An inborn error of amino acid metabolism resulting from a defect in the enzyme HOMOGENTISATE 1,2-DIOXYGENASE, an enzyme involved in the breakdown of PHENYLALANINE and TYROSINE. It is characterized by accumulation of HOMOGENTISIC ACID in the urine, OCHRONOSIS in various tissues, and ARTHRITIS."
C0002066,NCI,DXP,ALKAPTONURIA,"A rare autosomal recessive disorder characterized by abnormalities in the metabolism of phenylalanine and tyrosine. It results in the accumulation in the blood of homogentisic acid which is excreted in the urine. The presence of homogentisic acid in the urine causes its color to turn black. The excessive amount of homogentisic acid in the blood may cause damage to cartilage and heart valves, and may result in the formation of kidney stones."
C0002066,ORPHANET,DXP,ALKAPTONURIA,"A rare disorder of phenylalanine and tyrosine metabolism characterized by the accumulation of homogentisic acid (HGA) and its oxidized product, benzoquinone acetic acid (BQA), in various tissues (e.g. cartilage, connective tissue) and body fluids (urine, sweat), causing urine to darken when exposed to air as well as grey-blue coloration of the sclera and ear helix (ochronosis), and a disabling joint disease involving both the axial and peripheral joints (ochronotic arthropathy)."
C0002171,MSH,DXP,"ALOPECIA, AREATA",Loss of scalp and body hair involving microscopically inflammatory patchy areas.
C0002395,MSH,DXP,ALZHEIMER DISEASE,"A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)"
C0002395,CSP,DXP,ALZHEIMER DISEASE,neurodegenerative disorder of the CNS resulting in progressive loss of memory and intellectual functions; begins in the middle or later years; characterized by brain lesions such as neurofibrillary tangles and neuritic plaques.
C0002395,JABL,DXP,ALZHEIMER DISEASE,"A disabling degenerative disease of the nervous system occurring in middle-aged or older persons and characterized by dementia and failure of memory for recent events, followed by total incapacitation and death. Types of the Alzheimer syndrome are differentiated by the age of onset and genetic characteristics. The early onset form (the mean age of the onset of symptoms between the ages of 40 and 60 years) and the late onset form (the onset of symptoms after the age of 60 years). Three forms are identified: AD-1, AD-2, AD-3. Some of the clinical characteristics of the Alzheimer syndrome are similar to those of the Pick syndrome."
C0002395,MEDLINEPLUS,DXP,ALZHEIMER DISEASE,"<p>Alzheimer's disease (AD) is the most common form of <a href=""https://medlineplus.gov/dementia.html"">dementia</a> among older people. Dementia is a brain disorder that seriously affects a person's ability to carry out daily activities. </p> <p>AD begins slowly. It first involves the parts of the brain that control thought, memory and language. People with AD may have trouble remembering things that happened recently or names of people they know. A related problem, <a href=""https://medlineplus.gov/mildcognitiveimpairment.html"">mild cognitive impairment</a> (MCI), causes more memory problems than normal for people of the same age. Many, but not all, people with MCI will develop AD.</p> <p>In AD, over time, symptoms get worse. People may not recognize family members. They may have trouble speaking, reading or writing. They may forget how to brush their teeth or comb their hair. Later on, they may become anxious or aggressive, or wander away from home. Eventually, they need total care. This can cause great stress for family members who must <a href=""https://medlineplus.gov/alzheimerscaregivers.html"">care</a> for them.</p> <p>AD usually begins after age 60. The risk goes up as you get older. Your risk is also higher if a family member has had the disease.</p> <p> No treatment can stop the disease. However, some drugs may help keep symptoms from getting worse for a limited time.</p> <p class="""">NIH: National Institute on Aging</p>"
C0002395,HPO,DXP,ALZHEIMER DISEASE,"A degenerative disease of the brain characterized by the insidious onset of dementia. Impairment of memory, judgment, attention span, and problem solving skills are followed by severe apraxia and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of senile plaques, neurofibrillary tangles, and neuropil threads. [HPO:probinson]"
C0002395,NCI,DXP,ALZHEIMER DISEASE,"A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language."
C0002438,MSH,DXP,AMEBIASIS,"Infection with any of various amebae. It is an asymptomatic carrier state in most individuals, but diseases ranging from chronic, mild diarrhea to fulminant dysentery may occur."
C0002438,CSP,DXP,AMEBIASIS,"infection with any of various amebae; an asymptomatic carrier state in most individuals, but diseases ranging from chronic, mild diarrhea to fulminant dysentery may occur."
C0002438,NCI,DXP,AMEBIASIS,"A parasitic infectious disorder caused by amoebas. The parasite may cause colitis which is manifested with bloody diarrhea, abdominal pain, nausea and fever. In rare cases it may spread to the liver, brain and lungs."
C0002438,NCI,DXP,AMEBIASIS,"A parasitic infection of the colon by Entamoeba histolytica. Signs and symptoms include cramping, diarrhea, bloody stools and fever. It can be treated with antibiotics."
C0002448,MSH,DXP,AMELOBLASTOMA,"An immature epithelial tumor of the JAW originating from the epithelial rests of Malassez or from other epithelial remnants of the ENAMEL from the developmental period. It is a slowly growing tumor, usually benign, but displays a marked propensity for invasive growth."
C0002448,ORPHANET,DXP,AMELOBLASTOMA,"A rare, benign, slow-growing odontologic tumor located in the mandible, and on occasion the maxilla, characterized by painless, variable-sized jaw swelling, which if left untreated may lead to a grotesque facial appearance. Occasionally, paresthesias, tooth displacement and adjacent root resorption may be associated. Local invasion is frequently observed, but malignant transformation and metastasis are not common."
C0002448,NCI,DXP,AMELOBLASTOMA,"The most common odontogenic tumor, arising from the epithelial component of the embryonic tooth and usually affecting the molar-ramus region of the mandible or maxilla. Although most ameloblastomas are morphologically and clinically benign, they may cause extensive local destruction, recur, or metastasize."
C0002514,MSH,DXP,INBORN ERROR OF AMINO ACID METABOLISM,"Disorders affecting amino acid metabolism. The majority of these disorders are inherited and present in the neonatal period with metabolic disturbances (e.g., ACIDOSIS) and neurologic manifestations. They are present at birth, although they may not become symptomatic until later in life."
C0002514,CSP,DXP,INBORN ERROR OF AMINO ACID METABOLISM,"disorders affecting amino acid metabolism; majority of these disorders are inherited and present in the neonatal period with metabolic disturbances (for example, acidosis) and neurologic manifestations; present at birth, although they may not become symptomatic until later in life."
C0002514,NCI,DXP,INBORN ERROR OF AMINO ACID METABOLISM,"An inherited disorder that affects the metabolism of the amino acids. Representative examples include alkaptonuria, homocystinuria, tyrosinemia, and phenylketonuria."
C0002514,MEDLINEPLUS,DXP,INBORN ERROR OF AMINO ACID METABOLISM,"<p>Metabolism is the process your body uses to make energy from the food you eat. Food is made up of proteins, carbohydrates, and fats. Your digestive system breaks the food parts down into sugars and acids, your body's fuel. Your body can use this fuel right away, or it can store the energy in your body. If you have a <a href=""https://medlineplus.gov/metabolicdisorders.html"">metabolic disorder</a>, something goes wrong with this process.</p> <p>One group of these disorders is amino acid metabolism disorders. They include <a href=""https://medlineplus.gov/phenylketonuria.html"">phenylketonuria</a> (PKU) and maple syrup urine disease. Amino acids are ""building blocks"" that join together to form proteins. If you have one of these disorders, your body may have trouble breaking down certain amino acids. Or there may be a problem getting the amino acids into your cells. These problems cause a buildup of harmful substances in your body. That can lead to serious, sometimes life-threatening, health problems.</p> <p>These disorders are usually inherited. A baby who is born with one may not have any symptoms right away. Because the disorders can be so serious, early diagnosis and treatment are critical. Newborn babies get <a href=""https://medlineplus.gov/newbornscreening.html"">screened</a> for many of them, using blood tests.</p> <p>Treatments may include special diets, medicines, and supplements. Some babies may also need additional treatments if there are complications.</p>"
C0002768,MSH,DXP,"PAIN INDIFFERENCE, CONGENITAL","A syndrome characterized by indifference to PAIN despite the ability to distinguish noxious from non-noxious stimuli. Absent corneal reflexes and INTELLECTUAL DISABILITY may be associated. Familial forms with autosomal recessive and autosomal dominant patterns of inheritance have been described. (Adams et al., Principles of Neurology, 6th ed, p1343)"
C0002792,MSH,DXP,"ANAPHYLAXIS, GENERALIZED","An acute hypersensitivity reaction due to exposure to a previously encountered ANTIGEN. The reaction may include rapidly progressing URTICARIA, respiratory distress, vascular collapse, systemic SHOCK, and death."
C0002792,NCI,DXP,"ANAPHYLAXIS, GENERALIZED","An acute hypersensitive immune response that occurs from exposure to an allergen. It results from the release of histamine and histamine-like substances from mast cells, and can present with breathing difficulty due to narrowed airways, dizziness and hypotension, skin rash, weak pulse, nausea and vomiting."
C0002792,MEDLINEPLUS,DXP,"ANAPHYLAXIS, GENERALIZED","<p>Anaphylaxis is a serious <a href=""https://medlineplus.gov/allergy.html"">allergic reaction</a>. It can begin very quickly, and symptoms may be life-threatening. The most common causes are reactions to <a href=""https://medlineplus.gov/foodallergy.html"">foods</a> (especially peanuts), <a href=""https://medlineplus.gov/drugreactions.html"">medications</a>, and <a href=""https://medlineplus.gov/insectbitesandstings.html"">stinging insects</a>. Other causes include exercise and <a href=""https://medlineplus.gov/latexallergy.html"">exposure to latex</a>. Sometimes no cause can be found.</p> <p>It can affect many organs:</p> <ul> <li>Skin - itching, hives, redness, swelling</li> <li>Nose - sneezing, stuffy nose, runny nose</li> <li>Mouth - itching, swelling of the lips or tongue</li> <li>Throat - itching, tightness, trouble swallowing, swelling of the back of the throat</li> <li>Chest - shortness of breath, coughing, wheezing, chest pain or tightness</li> <li>Heart - weak pulse, passing out, shock</li> <li>Gastrointestinal tract - vomiting, diarrhea, cramps</li> <li>Nervous system - dizziness or fainting</li> </ul> <p>If someone is having a serious allergic reaction, call 911. If an auto-injector is available, give the person the injection right away.</p>"
C0002873,NCI,DXP,ANEMIA OF CHRONIC DISEASE,Anemia due to a disorder that is persistent or long-standing in nature.
C0002874,MSH,DXP,"ANEMIA, APLASTIC",A form of anemia in which the bone marrow fails to produce adequate numbers of peripheral blood elements.
C0002874,CSP,DXP,"ANEMIA, APLASTIC","anemia associated with a fatty, hypocellular bone marrow and global dyshematopoiesis; can be idiopathic or due to microbial, metabolic, autoimmune, or other abnormality."
C0002874,MEDLINEPLUS,DXP,"ANEMIA, APLASTIC","<h3>What is aplastic anemia?</h3> <p>Aplastic <a href=""https://medlineplus.gov/anemia.html""> anemia</a> is a rare but serious blood disorder. If you have it, your <a href=""https://medlineplus.gov/bonemarrowdiseases.html"">bone marrow</a> doesn't make enough new blood cells. It happens when there is damage to stem cells inside your bone marrow. There are different types of aplastic anemia, including Fanconi anemia.</p> <h3>What causes aplastic anemia?</h3> <p>The causes of aplastic anemia can include:</p> <ul> <li><a href=""https://medlineplus.gov/autoimmunediseases.html"">Autoimmune disorders</a>, which are the most common cause</li> <li>Certain inherited gene changes, such as <a href=""https://medlineplus.gov/genetics/condition/fanconi-anemia/"">the one that can cause Fanconi anemia</a></li> <li>Toxic substances, such as <a href=""https://medlineplus.gov/pesticides.html"">pesticides</a>, <a href=""https://medlineplus.gov/arsenic.html"">arsenic</a>, and benzene</li> <li><a href=""https://medlineplus.gov/radiationtherapy.html"">Radiation therapy</a> and <a href=""https://medlineplus.gov/cancerchemotherapy.html"">chemotherapy</a> for cancer</li> <li>Certain medicines</li> <li>Viral infections such as <a href=""https://medlineplus.gov/hepatitis.html"">hepatitis</a>, Epstein-Barr virus, or <a href=""https://medlineplus.gov/hivaids.html"">HIV</a></li> <li>Pregnancy</li> </ul> <p>In many people, the cause is unknown. This is called idiopathic aplastic anemia.</p> <h3>What are the symptoms of aplastic anemia?</h3> <p>Aplastic anemia can develop suddenly or slowly. It can be mild or severe. The symptoms of aplastic anemia can include:</p> <ul> <li><a href=""https://medlineplus.gov/fatigue.html"">Fatigue</a></li> <li>Weakness</li> <li><a href=""https://medlineplus.gov/dizzinessandvertigo.html"">Dizziness</a></li> <li><a href=""https://medlineplus.gov/breathingproblems.html"">Shortness of breath</a></li> <li>Easy <a href=""https://medlineplus.gov/bruises.html"">bruising</a> or <a href=""https://medlineplus.gov/bleeding.html"">bleeding</a></li> </ul> <h3>What other problems can aplastic anemia cause?</h3> <p>Aplastic anemia can cause other problems, including frequent infections and bleeding. It raises your risk of developing a serious <a href=""https://medlineplus.gov/blooddisorders.html"">blood disorder</a>.</p> <p>If not treated, aplastic anemia can also lead to heart problems such as an <a href=""https://medlineplus.gov/arrhythmia.html"">arrhythmia</a> (a problem with the rate or rhythm of your heartbeat), an enlarged heart, or <a href=""https://medlineplus.gov/heartfailure.html"">heart failure</a>.</p> <h3>How is aplastic anemia diagnosed?</h3> <p>To find out if you have aplastic anemia, your doctor will:</p><p> </p><ul> <li>Take your medical and your family medical histories</li> <li>Do a physical exam</li> <li>Order tests, such as tests to check if you have low numbers of cells in your bone marrow and blood</li> </ul> <h3>What are the treatments for aplastic anemia?</h3> <p>If you have aplastic anemia, your doctor will create a treatment plan for you. The plan will be based on how severe the anemia is and what is causing it. Treatments can include:</p> <ul> <li>Blood <a href=""https://medlineplus.gov/bloodtransfusionanddonation.html"">transfusions</a></li> <li>Blood and marrow <a href=""https://medlineplus.gov/stemcells.html"">stem cell transplants</a></li> <li>Medicines to suppress your immune system</li> </ul> <p>Because of the risk of blood disorders, your doctor will monitor your condition and screen you for blood disorders regularly.</p> <p class="""">NIH: National Heart, Lung, and Blood Institute</p>"
C0002874,HPO,DXP,"ANEMIA, APLASTIC","Aplastic anemia is defined as pancytopenia with a hypocellular marrow. [HPO:probinson, PMID:21239768]"
C0002874,NCI,DXP,"ANEMIA, APLASTIC","Anemia resulting from bone marrow failure (aplastic or hypoplastic bone marrow). The production of erythroblasts and red cells is markedly decreased, and it may be associated with decreased production of granulocytes (granulocytopenia) and platelets (thrombocytopenia) as well. Aplastic anemia may be idiopathic or secondary due to bone marrow damage by toxins, radiation, or immunologic factors."
C0002875,NCI,DXP,"ANEMIA, HEMOLYTIC, THALASSEMIA MAJOR",The most severe form of beta thalassemia that is characterized by the lack of functional beta-globin chain production resulting in the absence of hemoglobin A.
C0002875,ORPHANET,DXP,"ANEMIA, HEMOLYTIC, THALASSEMIA MAJOR",Beta-thalassemia (BT) major is a severe early-onset form of BT (see this term) characterized by severe anemia requiring regular red blood cell transfusions.
C0002890,MSH,DXP,"ANEMIA, MYELOPHTHISIC","Anemia characterized by appearance of immature myeloid and nucleated erythrocytes in the peripheral blood, resulting from infiltration of the bone marrow by foreign or abnormal tissue."
C0002892,MSH,DXP,"ANEMIA, PERNICIOUS","A megaloblastic anemia occurring in children but more commonly in later life, characterized by histamine-fast achlorhydria, in which the laboratory and clinical manifestations are based on malabsorption of vitamin B 12 due to a failure of the gastric mucosa to secrete adequate and potent intrinsic factor. (Dorland, 27th ed)"
