CUI_1,STR_1,CUI_2,STR_2,SCORE
C0001080,ACHONDROPLASIA,C0024796,MARFAN SYNDROME,0.5768581628799438
C0001080,ACHONDROPLASIA,C1567741,"NEPHRITIS WITH NERVE DEAFNESS, HEREDITARY",0.5742732286453247
C0001126,"ACIDOSIS, RENAL, TUBULAR",C0015624,FANCONI SYNDROME,0.7329645752906799
C0001126,"ACIDOSIS, RENAL, TUBULAR",C0027726,NEPHROTIC SYNDROME,0.6563643217086792
C0001126,"ACIDOSIS, RENAL, TUBULAR",C0020630,HYPOPHOSPHATASIA,0.6262580156326294
C0001126,"ACIDOSIS, RENAL, TUBULAR",C0027709,NEPHROCALCINOSIS,0.6220837831497192
C0001126,"ACIDOSIS, RENAL, TUBULAR",C0020501,PRIMARY HYPEROXALURIA,0.6120461821556091
C0001126,"ACIDOSIS, RENAL, TUBULAR",C0018609,HARTNUP DISEASE,0.6065159440040588
C0001126,"ACIDOSIS, RENAL, TUBULAR",C0010691,CYSTINURIA,0.6041005849838257
C0001206,ACROMEGALY,C0017547,"GIGANTISM, PITUITARY",0.7202625274658203
C0001206,ACROMEGALY,C0027577,NELSON SYNDROME,0.6343823075294495
C0001206,ACROMEGALY,C0013338,PITUITARY DWARFISM,0.6293973922729492
C0001206,ACROMEGALY,C0010481,CUSHING SYNDROME,0.6185076236724854
C0001206,ACROMEGALY,C0033375,"PITUITARY ADENOMA, PROLACTIN SECRETING",0.6056262850761414
C0001206,ACROMEGALY,C0302280,"ADRENOGENITAL SYNDROME, CONGENITAL",0.5630054473876953
C0001206,ACROMEGALY,C0001080,ACHONDROPLASIA,0.5492569208145142
C0001261,ACTINOMYCOSIS,C0024449,MYCETOMA,0.7342709302902222
C0001261,ACTINOMYCOSIS,C0031157,"ABSCESS, PERITONSILLAR",0.5690302848815918
C0001261,ACTINOMYCOSIS,C0025229,MELIOIDOSIS,0.5637537837028503
C0001261,ACTINOMYCOSIS,C0038565,"ABSCESS, SUBPHRENIC",0.5459908246994019
C0001261,ACTINOMYCOSIS,C0036285,SCARLET FEVER,0.5382267832756042
C0001261,ACTINOMYCOSIS,C0003175,ANTHRAX,0.5352734327316284
C0001261,ACTINOMYCOSIS,C0006849,"CANDIDIASIS, ORAL",0.5333290100097656
C0001327,"LARYNGITIS, ACUTE",C0023059,"LARYNX, PERICHONDRITIS",0.7663180828094482
C0001327,"LARYNGITIS, ACUTE",C0155836,"LARYNGITIS, CHRONIC",0.7650473117828369
C0001327,"LARYNGITIS, ACUTE",C0010380,"LARYNGOTRACHEOBRONCHITIS, ACUTE",0.7078627347946167
C0001327,"LARYNGITIS, ACUTE",C0041315,"LARYNX, TUBERCULOSIS",0.6914440989494324
C0001327,"LARYNGITIS, ACUTE",C0238229,"LARYNX, FRACTURE",0.6698148846626282
C0001327,"LARYNGITIS, ACUTE",C0001361,"TONSILLITIS, ACUTE",0.6268218159675598
C0001327,"LARYNGITIS, ACUTE",C0037023,SIALADENITIS,0.5439385771751404
C0001339,"PANCREATITIS, ACUTE",C0149521,"PANCREATITIS, CHRONIC",0.8379941582679749
C0001339,"PANCREATITIS, ACUTE",C0238334,"PANCREAS, ABSCESS",0.6318731904029846
C0001339,"PANCREATITIS, ACUTE",C0267830,"LIVER, ABSCESS, PYOGENIC",0.5836593508720398
C0001339,"PANCREATITIS, ACUTE",C0238339,"PANCREATITIS, HEREDITARY",0.5139142274856567
C0001339,"PANCREATITIS, ACUTE",C0149518,"GASTRITIS, ACUTE",0.5079087018966675
C0001339,"PANCREATITIS, ACUTE",C0032310,"PNEUMONIA, VIRAL",0.4851951003074646
C0001339,"PANCREATITIS, ACUTE",C0001364,"LIVER, MASSIVE NECROSIS",0.48496121168136597
C0001361,"TONSILLITIS, ACUTE",C0021345,INFECTIOUS MONONUCLEOSIS,0.5914820432662964
C0001361,"TONSILLITIS, ACUTE",C0149514,"BRONCHITIS, ACUTE",0.5642892122268677
C0001361,"TONSILLITIS, ACUTE",C0040150,"THYROIDITIS, ACUTE SUPPURATIVE",0.5640314817428589
C0001361,"TONSILLITIS, ACUTE",C0023059,"LARYNX, PERICHONDRITIS",0.5585442781448364
C0001361,"TONSILLITIS, ACUTE",C0036285,SCARLET FEVER,0.5514100193977356
C0001361,"TONSILLITIS, ACUTE",C0023860,LISTERIOSIS,0.5404344201087952
C0001363,"MESENTERIC VASCULAR INSUFFICIENCY, ACUTE",C0035085,"KIDNEY, INFARCTION",0.5073471069335938
C0001363,"MESENTERIC VASCULAR INSUFFICIENCY, ACUTE",C0021933,INTUSSUSCEPTION,0.4893034100532532
C0001363,"MESENTERIC VASCULAR INSUFFICIENCY, ACUTE",C0149518,"GASTRITIS, ACUTE",0.4875319004058838
C0001363,"MESENTERIC VASCULAR INSUFFICIENCY, ACUTE",C0221210,"INTESTINE, MALROTATION",0.4793684482574463
C0001363,"MESENTERIC VASCULAR INSUFFICIENCY, ACUTE",C0205792,ENTEROCELE,0.4787467122077942
C0001363,"MESENTERIC VASCULAR INSUFFICIENCY, ACUTE",C0038828,"DUODENUM, VASCULAR COMPRESSION",0.47743818163871765
C0001363,"MESENTERIC VASCULAR INSUFFICIENCY, ACUTE",C0520459,"ENTEROCOLITIS, NECROTIZING",0.47526314854621887
C0001364,"LIVER, MASSIVE NECROSIS",C0015695,FATTY LIVER,0.7494692802429199
C0001364,"LIVER, MASSIVE NECROSIS",C0019187,"HEPATITIS, ALCOHOLIC",0.564995288848877
C0001364,"LIVER, MASSIVE NECROSIS",C0160390,LIVER INJURY,0.5572553277015686
C0001364,"LIVER, MASSIVE NECROSIS",C0149519,"HEPATITIS, CHRONIC PERSISTENT",0.530205249786377
C0001364,"LIVER, MASSIVE NECROSIS",C0333577,CHOLESTEROSIS,0.5072432160377502
C0001364,"LIVER, MASSIVE NECROSIS",C0267830,"LIVER, ABSCESS, PYOGENIC",0.5049554109573364
C0001364,"LIVER, MASSIVE NECROSIS",C0022350,DUBIN-JOHNSON SYNDROME,0.49788960814476013
C0001396,STOKES-ADAMS ATTACKS,C0037052,SICK SINUS SYNDROME,0.6315945386886597
C0001396,STOKES-ADAMS ATTACKS,C0042420,"SYNCOPE, VASOVAGAL",0.5849026441574097
C0001396,STOKES-ADAMS ATTACKS,C0030591,"TACHYCARDIA, VENTRICULAR, PAROXYSMAL",0.5294706225395203
C0001396,STOKES-ADAMS ATTACKS,C0030590,PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIA,0.5181182622909546
C0001396,STOKES-ADAMS ATTACKS,C0004238,ATRIAL FIBRILLATION,0.5061195492744446
C0001396,STOKES-ADAMS ATTACKS,C0004245,ATRIOVENTRICULAR BLOCK,0.5026582479476929
C0001396,STOKES-ADAMS ATTACKS,C0149958,PARTIAL-COMPLEX SEIZURE,0.495099812746048
C0001486,ADENOVIRUS INFECTION,C0031351,PHARYNGOCONJUNCTIVAL FEVER,0.7257649302482605
C0001486,ADENOVIRUS INFECTION,C0014493,"KERATOCONJUNCTIVITIS, EPIDEMIC",0.6230107545852661
C0001486,ADENOVIRUS INFECTION,C0032238,"PLEURODYNIA, EPIDEMIC",0.5368946194648743
C0001486,ADENOVIRUS INFECTION,C0027983,NEWCASTLE DISEASE,0.5305219292640686
C0001486,ADENOVIRUS INFECTION,C0009765,"CONJUNCTIVITIS, HEMORRHAGIC, ACUTE",0.5296782851219177
C0001486,ADENOVIRUS INFECTION,C0018572,HAND-FOOT-AND-MOUTH DISEASE,0.5127060413360596
C0001486,ADENOVIRUS INFECTION,C0018889,HELMINTHIASIS,0.49917301535606384
C0001529,ADIPOSIS DOLOROSA,C0238467,"TONGUE, LIPOMA",0.6747037172317505
C0001529,ADIPOSIS DOLOROSA,C0016395,FOCAL DERMAL HYPOPLASIA SYNDROME,0.5971283316612244
C0001529,ADIPOSIS DOLOROSA,C0206673,SYRINGOMA,0.5733281373977661
C0001529,ADIPOSIS DOLOROSA,C0311284,"RETICULOHISTIOCYTOMA, MULTICENTRIC",0.5713071823120117
C0001529,ADIPOSIS DOLOROSA,C0015458,"FACE, HEMIATROPHY, PROGRESSIVE",0.5688275694847107
C0001529,ADIPOSIS DOLOROSA,C0011859,"DIABETES, LIPOATROPHIC",0.563478946685791
C0001529,ADIPOSIS DOLOROSA,C0023795,"PROTEINOSIS, LIPOID",0.5575003027915955
C0001727,AFFERENT LOOP SYNDROME,C0221210,"INTESTINE, MALROTATION",0.5104720592498779
C0001727,AFFERENT LOOP SYNDROME,C0024633,MALLORY-WEISS SYNDROME,0.5089380145072937
C0001727,AFFERENT LOOP SYNDROME,C0038828,"DUODENUM, VASCULAR COMPRESSION",0.46570125222206116
C0001727,AFFERENT LOOP SYNDROME,C0036992,SHORT-BOWEL SYNDROME,0.43407127261161804
C0001727,AFFERENT LOOP SYNDROME,C0012819,"COLON, DIVERTICULOSIS",0.43402746319770813
C0001727,AFFERENT LOOP SYNDROME,C0024215,"LYMPHANGIECTASIA, INTESTINAL",0.41951531171798706
C0001727,AFFERENT LOOP SYNDROME,C0205792,ENTEROCELE,0.41922497749328613
C0001733,"FACTOR I DEFICIENCY, COMPLETE",C0015530,"FACTOR XIII DEFICIENCY, CONGENITAL",0.7116492390632629
C0001733,"FACTOR I DEFICIENCY, COMPLETE",C0015519,FACTOR X DEFICIENCY,0.6595292091369629
C0001733,"FACTOR I DEFICIENCY, COMPLETE",C0238120,"FACTOR XIII DEFICIENCY, ACQUIRED",0.6549122929573059
C0001733,"FACTOR I DEFICIENCY, COMPLETE",C0015499,FACTOR V DEFICIENCY,0.6498402953147888
C0001733,"FACTOR I DEFICIENCY, COMPLETE",C0015503,FACTOR VII DEFICIENCY,0.6447407007217407
C0001733,"FACTOR I DEFICIENCY, COMPLETE",C0008533,FACTOR IX DEFICIENCY,0.6356955170631409
C0001733,"FACTOR I DEFICIENCY, COMPLETE",C0015526,FACTOR XII DEFICIENCY,0.6199824213981628
C0001824,AGRANULOCYTOSIS,C0238036,BRONCHOCENTRIC GRANULOMATOSIS,0.4629376232624054
C0001824,AGRANULOCYTOSIS,C0018203,CHRONIC GRANULOMATOUS DISEASE,0.4611107409000397
C0001824,AGRANULOCYTOSIS,C0020532,HYPERSPLENISM,0.45299533009529114
C0001824,AGRANULOCYTOSIS,C0162316,"ANEMIA, IRON DEFICIENCY",0.4363614618778229
C0001824,AGRANULOCYTOSIS,C1540912,HYPEREOSINOPHILIC SYNDROME,0.43222635984420776
C0001824,AGRANULOCYTOSIS,C0014461,EOSINOPHILIC GRANULOMA,0.4306557774543762
C0001824,AGRANULOCYTOSIS,C0242459,LOEFFLER SYNDROME,0.41064131259918213
C0001957,DELERIUM TREMENS,C0001969,ALCOHOL INTOXICATION,0.6668587923049927
C0001957,DELERIUM TREMENS,C0009176,COCAINE INTOXICATION,0.6191060543060303
C0001957,DELERIUM TREMENS,C0001973,ALCOHOLISM,0.6060540080070496
C0001957,DELERIUM TREMENS,C0085677,"NEUROPATHY, ALCOHOLIC",0.5667651295661926
C0001957,DELERIUM TREMENS,C0029225,ORGANIC DELUSIONAL SYNDROME,0.5385257005691528
C0001957,DELERIUM TREMENS,C0349464,KORSAKOFF'S PSYCHOSIS,0.5287675857543945
C0001957,DELERIUM TREMENS,C0238265,MARCHIAFAVA-BIGNAMI SYNDROME,0.516236424446106
C0001969,ALCOHOL INTOXICATION,C0085677,"NEUROPATHY, ALCOHOLIC",0.6909475326538086
C0001969,ALCOHOL INTOXICATION,C0001973,ALCOHOLISM,0.5950223803520203
C0001969,ALCOHOL INTOXICATION,C0015923,FETAL ALCOHOL SYNDROME,0.5614812970161438
C0001969,ALCOHOL INTOXICATION,C0009176,COCAINE INTOXICATION,0.5247029662132263
C0001969,ALCOHOL INTOXICATION,C0349464,KORSAKOFF'S PSYCHOSIS,0.5231552124023438
C0001969,ALCOHOL INTOXICATION,C0221040,"DEMENTIA, DIALYSIS",0.5025283694267273
C0001973,ALCOHOLISM,C0015923,FETAL ALCOHOL SYNDROME,0.5750244855880737
C0001973,ALCOHOLISM,C0007192,"CARDIOMYOPATHY, ALCOHOLIC",0.5602298378944397
C0001973,ALCOHOLISM,C0085677,"NEUROPATHY, ALCOHOLIC",0.5547606348991394
C0001973,ALCOHOLISM,C0019187,"HEPATITIS, ALCOHOLIC",0.47335222363471985
C0001973,ALCOHOLISM,C0349464,KORSAKOFF'S PSYCHOSIS,0.45803317427635193
C0002066,ALKAPTONURIA,C0001126,"ACIDOSIS, RENAL, TUBULAR",0.5993601083755493
C0002066,ALKAPTONURIA,C0162565,"PORPHYRIA, ACUTE INTERMITTENT",0.5831336975097656
C0002066,ALKAPTONURIA,C0220992,HISTIDINEMIA,0.5741803050041199
C0002066,ALKAPTONURIA,C0018609,HARTNUP DISEASE,0.5734364986419678
C0002066,ALKAPTONURIA,C0031485,PHENYLKETONURIA,0.5732319355010986
C0002066,ALKAPTONURIA,C0019880,HOMOCYSTINURIA,0.5460515022277832
C0002066,ALKAPTONURIA,C0002514,INBORN ERROR OF AMINO ACID METABOLISM,0.5442363619804382
C0002171,"ALOPECIA, AREATA",C0011606,"DERMATITIS, EXFOLIATIVE, GENERALIZED",0.4837489426136017
C0002171,"ALOPECIA, AREATA",C0036508,"DERMATITIS, SEBORRHEIC",0.4663284718990326
C0002171,"ALOPECIA, AREATA",C0024904,MASTOIDITIS,0.46127012372016907
C0002171,"ALOPECIA, AREATA",C0042170,VOGT-KOYANAGI SYNDROME,0.45593708753585815
C0002171,"ALOPECIA, AREATA",C0033860,PSORIASIS,0.4479711651802063
C0002171,"ALOPECIA, AREATA",C0030328,"PANNICULITIS, NODULAR NONSUPPURATIVE",0.43094855546951294
C0002171,"ALOPECIA, AREATA",C0036416,SCLERITIS,0.43016019463539124
C0002395,ALZHEIMER DISEASE,C0020179,"CHOREA, CHRONIC PROGRESSIVE HEREDITARY",0.6360888481140137
C0002395,ALZHEIMER DISEASE,C0236642,PICK DISEASE,0.6224678158760071
C0002395,ALZHEIMER DISEASE,C0013080,DOWN SYNDROME,0.5555570721626282
C0002395,ALZHEIMER DISEASE,C0011263,"DEMENTIA, MULTI-INFARCT",0.5520074963569641
C0002395,ALZHEIMER DISEASE,C0039223,TABES DORSALIS,0.547063410282135
C0002395,ALZHEIMER DISEASE,C0206307,"BRAIN, FAMILIAL SPONGY DEGENERATION",0.5371185541152954
C0002395,ALZHEIMER DISEASE,C0085084,MOTOR NEURON DISEASE,0.5348718762397766
C0002438,AMEBIASIS,C0023886,"LIVER, ABSCESS, AMEBIC",0.6619671583175659
C0002438,AMEBIASIS,C0004692,BALANTIDIASIS,0.6193339824676514
C0002438,AMEBIASIS,C0023049,"LARVA MIGRANS, VISCERAL",0.611991822719574
C0002438,AMEBIASIS,C0003950,ASCARIASIS,0.600028395652771
C0002438,AMEBIASIS,C0017536,GIARDIASIS,0.5945579409599304
C0002438,AMEBIASIS,C0025007,MEASLES,0.5806103944778442
C0002438,AMEBIASIS,C0162576,ANISAKIASIS,0.5785257816314697
C0002448,AMELOBLASTOMA,C0029440,OSTEOMA,0.6146373748779297
C0002448,AMELOBLASTOMA,C0151546,"MOUTH, CARCINOMA",0.5937638282775879
C0002448,AMELOBLASTOMA,C0238141,"GINGIVA, CARCINOMA",0.5933511853218079
C0002448,AMELOBLASTOMA,C0027819,NEUROBLASTOMA,0.5710023045539856
C0002448,AMELOBLASTOMA,C0029463,OSTEOGENIC SARCOMA,0.5455769300460815
C0002448,AMELOBLASTOMA,C0558353,"TONGUE, CARCINOMA",0.5283530950546265
C0002448,AMELOBLASTOMA,C0206638,"BONE, GIANT CELL TUMOR",0.5242534279823303
C0002514,INBORN ERROR OF AMINO ACID METABOLISM,C0018609,HARTNUP DISEASE,0.6483138203620911
C0002514,INBORN ERROR OF AMINO ACID METABOLISM,C0024776,MAPLE SYRUP URINE DISEASE,0.6259310841560364
C0002514,INBORN ERROR OF AMINO ACID METABOLISM,C0268547,"ACIDURIA, ARGININOSUCCINIC",0.6097583770751953
C0002514,INBORN ERROR OF AMINO ACID METABOLISM,C0031485,PHENYLKETONURIA,0.6052477359771729
C0002514,INBORN ERROR OF AMINO ACID METABOLISM,C0016751,"FRUCTOSE INTOLERANCE, HEREDITARY",0.5714020133018494
C0002514,INBORN ERROR OF AMINO ACID METABOLISM,C0020501,PRIMARY HYPEROXALURIA,0.5703521370887756
C0002514,INBORN ERROR OF AMINO ACID METABOLISM,C0020630,HYPOPHOSPHATASIA,0.5529794096946716
C0002768,"PAIN INDIFFERENCE, CONGENITAL",C0037773,"PARAPLEGIA, SPASTIC HEREDITARY",0.6164951324462891
C0002768,"PAIN INDIFFERENCE, CONGENITAL",C0699739,"NEUROPATHY, CONGENITAL, SENSORY",0.5753175616264343
C0002768,"PAIN INDIFFERENCE, CONGENITAL",C0205713,ROUSSY-LEVY POLYNEUROPATHY,0.574061393737793
C0002768,"PAIN INDIFFERENCE, CONGENITAL",C0812437,OCULODENTODIGITAL DYSPLASIA SYNDROME,0.5491030812263489
C0002768,"PAIN INDIFFERENCE, CONGENITAL",C0221060,MOEBIUS SYNDROME,0.5338107347488403
C0002768,"PAIN INDIFFERENCE, CONGENITAL",C0016395,FOCAL DERMAL HYPOPLASIA SYNDROME,0.5239334106445312
C0002768,"PAIN INDIFFERENCE, CONGENITAL",C0221061,OPTIC ATROPHY-ATAXIA SYNDROME,0.5141436457633972
C0002792,"ANAPHYLAXIS, GENERALIZED",C0016470,FOOD ALLERGY,0.752569854259491
C0002792,"ANAPHYLAXIS, GENERALIZED",C2607914,"RHINITIS, ALLERGIC",0.5585730671882629
C0002792,"ANAPHYLAXIS, GENERALIZED",C0036830,SERUM SICKNESS,0.5247633457183838
C0002792,"ANAPHYLAXIS, GENERALIZED",C0009766,"CONJUNCTIVITIS, ALLERGIC",0.5067819356918335
C0002792,"ANAPHYLAXIS, GENERALIZED",C4551831,"URTICARIA, PHYSICAL",0.49911168217658997
C0002792,"ANAPHYLAXIS, GENERALIZED",C0011616,"DERMATITIS, CONTACT",0.4950830042362213
C0002792,"ANAPHYLAXIS, GENERALIZED",C0600327,TOXIC SHOCK SYNDROME,0.49317872524261475
C0002873,ANEMIA OF CHRONIC DISEASE,C0002890,"ANEMIA, MYELOPHTHISIC",0.6813600063323975
C0002873,ANEMIA OF CHRONIC DISEASE,C0162316,"ANEMIA, IRON DEFICIENCY",0.6271488666534424
C0002873,ANEMIA OF CHRONIC DISEASE,C0002874,"ANEMIA, APLASTIC",0.6170879602432251
C0002873,ANEMIA OF CHRONIC DISEASE,C0221021,"ANEMIA, HEMOLYTIC, MICROANGIOPATHIC",0.6055230498313904
C0002873,ANEMIA OF CHRONIC DISEASE,C0238158,"HEMOCHROMATOSIS, SECONDARY",0.6041167974472046
C0002873,ANEMIA OF CHRONIC DISEASE,C0014761,"ERYTHROBLASTOSIS, FETALIS",0.5725969672203064
C0002873,ANEMIA OF CHRONIC DISEASE,C0340968,"ANEMIA, HEMOLYTIC, PYRUVATE KINASE DEFICIENCY",0.5669386386871338
C0002874,"ANEMIA, APLASTIC",C0002890,"ANEMIA, MYELOPHTHISIC",0.6200910210609436
C0002874,"ANEMIA, APLASTIC",C0015625,FANCONI'S ANEMIA,0.5908190608024597
C0002874,"ANEMIA, APLASTIC",C1260899,CONGENITAL RED CELL APLASIA,0.5815377831459045
C0002874,"ANEMIA, APLASTIC",C0221021,"ANEMIA, HEMOLYTIC, MICROANGIOPATHIC",0.5797274708747864
C0002874,"ANEMIA, APLASTIC",C0238158,"HEMOCHROMATOSIS, SECONDARY",0.5589703321456909
C0002874,"ANEMIA, APLASTIC",C0162316,"ANEMIA, IRON DEFICIENCY",0.5544692873954773
C0002875,"ANEMIA, HEMOLYTIC, THALASSEMIA MAJOR",C0221020,THALASSEMIA-HEMOGLOBIN C DISEASE,0.8170827031135559
C0002875,"ANEMIA, HEMOLYTIC, THALASSEMIA MAJOR",C3161174,HEMOGLOBIN H DISEASE,0.7441918253898621
C0002875,"ANEMIA, HEMOLYTIC, THALASSEMIA MAJOR",C2242796,SICKLE CELL THALASSEMIA DISEASE,0.5831228494644165
C0002875,"ANEMIA, HEMOLYTIC, THALASSEMIA MAJOR",C0019021,HEMOGLOBIN C DISEASE,0.5749639272689819
C0002875,"ANEMIA, HEMOLYTIC, THALASSEMIA MAJOR",C0024790,"HEMOGLOBINURIA, PAROXYSMAL, NOCTURNAL",0.5590776801109314
C0002875,"ANEMIA, HEMOLYTIC, THALASSEMIA MAJOR",C0014761,"ERYTHROBLASTOSIS, FETALIS",0.5172644853591919
C0002875,"ANEMIA, HEMOLYTIC, THALASSEMIA MAJOR",C0002873,ANEMIA OF CHRONIC DISEASE,0.5120921730995178
C0002890,"ANEMIA, MYELOPHTHISIC",C0162316,"ANEMIA, IRON DEFICIENCY",0.7024874687194824
C0002890,"ANEMIA, MYELOPHTHISIC",C0238478,TRANSIENT ERYTHROBLASTOPENIA OF CHILDHOOD,0.6649122834205627
C0002890,"ANEMIA, MYELOPHTHISIC",C0014761,"ERYTHROBLASTOSIS, FETALIS",0.6585809588432312
C0002890,"ANEMIA, MYELOPHTHISIC",C1260899,CONGENITAL RED CELL APLASIA,0.6454501152038574
C0002890,"ANEMIA, MYELOPHTHISIC",C0033027,PRELEUKEMIC SYNDROME,0.6352847814559937
C0002890,"ANEMIA, MYELOPHTHISIC",C0221021,"ANEMIA, HEMOLYTIC, MICROANGIOPATHIC",0.6346315741539001
C0002892,"ANEMIA, PERNICIOUS",C0005750,BLIND LOOP SYNDROME,0.643530547618866
C0002892,"ANEMIA, PERNICIOUS",C0038054,"SPRUE, TROPICAL",0.6231796145439148
C0002892,"ANEMIA, PERNICIOUS",C0035528,ARIBOFLAVINOSIS,0.5689244866371155
C0002892,"ANEMIA, PERNICIOUS",C0162316,"ANEMIA, IRON DEFICIENCY",0.5486581325531006
C0002892,"ANEMIA, PERNICIOUS",C0002890,"ANEMIA, MYELOPHTHISIC",0.5360909700393677
C0002892,"ANEMIA, PERNICIOUS",C0238478,TRANSIENT ERYTHROBLASTOPENIA OF CHILDHOOD,0.5322459936141968
C0002892,"ANEMIA, PERNICIOUS",C0042880,VITAMIN K DEFICIENCY,0.5219264030456543
C0002895,"ANEMIA, SICKLE CELL",C0019034,SICKLE CELL-HEMOGLOBIN C DISEASE,0.7272222638130188
C0002895,"ANEMIA, SICKLE CELL",C0238425,SICKLE CELL CRISIS,0.6444481611251831
C0002895,"ANEMIA, SICKLE CELL",C2242796,SICKLE CELL THALASSEMIA DISEASE,0.6301696300506592
